İlçe,Hastane,Itfaiye, İlçe Nüfus,Nüfus/Hastane,Nüfus/Itfaiye
ADALAR,3,5,48366,16122.0,9673.2
ARNAVUTKOY,3,5,348464,116154.66666666667,69692.8
ATASEHIR,11,1,414866,37715.09090909091,414866.0
AVCILAR,7,1,440534,62933.42857142857,440534.0
BAGCILAR,15,2,713954,47596.933333333334,356977.0
BAHCELIEVLER,9,2,560686,62298.444444444445,280343.0
BAKIRKOY,8,2,227683,28460.375,113841.5
BASAKSEHIR,6,5,520467,86744.5,104093.4
BAYRAMPASA,6,2,268305,44717.5,134152.5
BESIKTAS,5,2,213802,42760.4,106901.0
BEYKOZ,4,7,245025,61256.25,35003.57142857143
BEYLIKDUZU,5,2,415290,83058.0,207645.0
BEYOGLU,4,1,216688,54172.0,216688.0
BUYUKCEKMECE,3,3,280528,93509.33333333333,93509.33333333333
CATALCA,3,12,167284,55761.333333333336,13940.333333333334
CEKMEKOY,4,2,336739,84184.75,168369.5
ESENLER,5,2,423625,84725.0,211812.5
ESENYURT,7,2,988369,141195.57142857142,494184.5
EYUPSULTAN,4,4,420706,105176.5,105176.5
FATIH,8,5,354472,44309.0,70894.4
GAZIOSMANPASA,4,2,493845,123461.25,246922.5
GUNGOREN,2,1,264831,132415.5,264831.0
KADIKOY,8,2,462189,57773.625,231094.5
KAGITHANE,3,2,444820,148273.33333333334,222410.0
KARTAL,6,2,475859,79309.83333333333,237929.5
KUCUKCEKMECE,4,2,789033,197258.25,394516.5
MALTEPE,5,2,532092,106418.4,266046.0
PENDIK,7,3,749356,107050.85714285714,249785.33333333334
SANCAKTEPE,3,1,502077,167359.0,502077.0
SARIYER,3,6,342582,114194.0,57097.0
SILE,1,15,80399,80399.0,5359.933333333333
SILIVRI,2,10,227653,113826.5,22765.3
SISLI,6,4,257056,42842.666666666664,64264.0
SULTANBEYLI,3,2,389193,129731.0,194596.5
SULTANGAZI,3,2,532601,177533.66666666666,266300.5
TUZLA,4,4,301400,75350.0,75350.0
UMRANIYE,5,2,727819,145563.8,363909.5
USKUDAR,6,4,512881,85480.16666666667,128220.25
ZEYTINBURNU,5,1,278344,55668.8,278344.0
