İlçe,Rakım,Rakım Skoru
ADALAR,27,0.8
ARNAVUTKOY,89,0.6
ATASEHIR,80,0.6
AVCILAR,32,0.8
BAGCILAR,66,0.6
BAHCELIEVLER,62,0.6
BAKIRKOY,27,0.8
BASAKSEHIR,118,0.4
BAYRAMPASA,101,0.4
BESIKTAS,18,1.0
BEYKOZ,128,0.4
BEYLIKDUZU,124,0.4
BEYOGLU,41,0.8
BUYUKCEKMECE,115,0.4
CATALCA,83,0.6
CEKMEKOY,122,0.4
CENGELKOY,38,0.8
ESENLER,37,0.8
ESENYURT,118,0.4
EYUPSULTAN,49,0.8
FATIH,18,1.0
GAZIOSMANPASA,108,0.4
GUNGOREN,43,0.8
KADIKOY,26,0.8
KAGITHANE,35,0.8
KARTAL,21,0.8
KUCUKCEKMECE,42,0.8
MALTEPE,6,1.0
PENDIK,25,0.8
SANCAKTEPE,126,0.4
SARIYER,48,0.8
SILIVRI,47,0.8
SISLI,118,0.4
SULTANBEYLI,158,0.4
SULTANGAZI,56,0.6
TUZLA,28,0.8
UMRANIYE,123,0.4
USKUDAR,34,0.8
ZEYTINBURNU,33,0.8
